"","x"
"963","@JoeBiden https://t.co/5Gzk55o0zH Fantastic, an excellent leap in the right direction; you will experience criticis… https://t.co/mesnDsg8Md"
"964","Tell me again how we don't have money for covid relief, healthcare, education, etc? God i hate this administration.… https://t.co/kiE0HsvzZg"
"965","@cgrube In what county? https://t.co/pJzo2GynmV"
"966","@luluphooey @BronwynChat @bbcquestiontime @Dr_PhilippaW Ur covid patients in hosp are on the rise."
"967","Our government has contempt for us
Even Brazil is giving citizens a stipend during covid https://t.co/ycIN06jtlZ"
"968","@TimKBryantYEG @Canadi__Anon @Xkakapantsx1 @GlobalJesus @GlobalEdmonton That’s irrelevant. Last year there were 847… https://t.co/D64C7Wdcz3"
"969","@seedarcipost @OfficialMaggieL @ZaidZamanHamid “I got the COVID vaccine from moderna....” 
and then she proceeds to… https://t.co/DvwObr9QVI"
"970","That would be none of them. The hospitalization rate for new Covid cases in JOCO is 25%. Death rate is close to 1%.… https://t.co/fdS2mNbGBb"
"971","Oh man I have a friend who is having a bad reaction to the vaccine but she also had covid itself like two weeks ago… https://t.co/BmtPjFPoY8"
"972","@charli3mitchell @altusda 18 +/- years ago: had 2 young children, worked (f-t, hrly, Mngmt, w/crappy-capped-benefit… https://t.co/lClmugCbdT"
"973","Yo.. there are 23.2 million covid cases in the United States as of today. this shit is reality &amp; it’s scary."
"974","I think I need to get a covid test but it feels extremely irresponsible to take the bus, and the nearest testing ce… https://t.co/QA4OvFvbpF"
"975","@schrarstzhaupt @mellziland Mais:
Lockdown: mais:
https://t.co/3a2j0fsu2J
https://t.co/z0QuD7pn6P… https://t.co/3MAbmsEhlz"
"976","@LFCTransferRoom @RealKevinPalmer @sundayworld Nobody wants to hear this bullshit! Covid 19 hasn't just hit LFC"
"977","@RokoMijicUK An experimental vaccine is a foolish panacea:

https://t.co/PPcIBlQEY3"
"978","Missouri moves to 1B Tier 1 today which includes all healthcare workers.  IB Tier 2 starts Monday which includes 65… https://t.co/WaOmT9E9EK"
"979","@amvetsupport Covid"
"980","@ShyChump And then two weeks later, Hanks was the first household name to “get” Covid.    And then Americans, as pl… https://t.co/mzipSaSJAc"
"981","(1/4) I lost a cousin to COVID complications today. 

He was a Navy vet with an engineers mind that took him to Ant… https://t.co/DOcRTSDBIs"
"982","""Children of all ages are susceptible to and can transmit SARS-CoV-2. Younger children appear to be less susceptibl… https://t.co/txxuTSe1UK"
"983","Eight Unusual Covid-19 Vaccination Sites Around the World  https://t.co/uHY50JBTfn via @smithsonianmag"
"984","4000 people dying everyday in us and joe rogan is strongly affirming that people overreacted to covid"
"985","This is so much uninformed garbage.

Teenagers are being admitted with covid &amp; one of the effects, in a significant… https://t.co/TU0MyZ6vq9"
"986","I want to work with other plus size sex workers but COVID has me crazy paranoid <U+0001F613>"
"987","Austin Public Health's state-approved hub for the distribution of COVID-19 vaccines provided nearly 4,000 doses to… https://t.co/Ig4atVM987"
"988","Covid has kept me from uncomfortable social settings and that’s about the only good to come from it."
"989","@CBSNews @FaceTheNation @massgovernor CBS says Mass below national average in distribution of vaccines. Maybe we sh… https://t.co/K14rzzXML6"
"990","Covid-19: Japanese Top League postponed until next month after 62 positive tests https://t.co/KMC21A1Vrb"
"991","@hicksannie1311 @brucearva How can she say in January what is going to happen in June with Covid. The LC is always… https://t.co/Jdrrbkrjtn"
"992","All these party flyers in the middle of covid. Aggy"
"993","@IvankaTrump @USTreasury Ivanka. The insurrection and your father's impeachment are still front and center. We are… https://t.co/zBcfEomjR9"
"994","pls share [Covid Update] Joe Biden announces $1.9 trillion COVID-19 economic package - https://t.co/7ZhYVdpqcV https://t.co/CpszZTw4IC"
"995","We are committed to vaccinating our members as soon as possible, given available supply. Due to high demand, we are… https://t.co/lAUdQ2yrhS"
"996","@kasie She’s a saint and deserves one at the US Capitol for her contributions to the Covid vaccine. And the Preside… https://t.co/jIlXQgxcOF"
"997","@02sinzuu I no understand o be like say na covid"
"998","@ItuMahuma_ been having shortness of breath lately (not covid) , so until that's sorted out only then I can smoke."
"999","@BreitbartNews I believe Covid deaths peaked today as @WSJ reported....<U+0001F633>"
"1000","In the mood to catch a comedy show blasted with some drinks but covid is kicking all our asses"
